Category ID,Category Path,Standard Fee Rate,Basic Fee Rate,Premium Fee Rate,Anchor Fee Rate
37928,Antiques > Asian Antiques > China > Plates,10%,9.15%,9.15%,9.15%
37929,Antiques > Asian Antiques > China > Pots,10%,9.15%,9.15%,9.15%
162946,Antiques > Asian Antiques > China > Rings,10%,9.15%,9.15%,9.15%
155352,Antiques > Asian Antiques > China > Robes & Textiles,10%,9.15%,9.15%,9.15%
162947,Antiques > Asian Antiques > China > Seals,10%,9.15%,9.15%,9.15%
37930,Antiques > Asian Antiques > China > Snuff Bottles,10%,9.15%,9.15%,9.15%
162963,Antiques > Asian Antiques > China > Swords,10%,9.15%,9.15%,9.15%
37932,Antiques > Asian Antiques > China > Tables,10%,9.15%,9.15%,9.15%
162964,Antiques > Asian Antiques > China > Tea Caddies,10%,9.15%,9.15%,9.15%
162965,Antiques > Asian Antiques > China > Teapots,10%,9.15%,9.15%,9.15%
37933,Antiques > Asian Antiques > China > Vases,10%,9.15%,9.15%,9.15%
73465,Antiques > Asian Antiques > China > Other Chinese Antiques,10%,9.15%,9.15%,9.15%
60209,Antiques > Asian Antiques > India,10%,9.15%,9.15%,9.15%
162969,Antiques > Asian Antiques > Japan > Armor,10%,9.15%,9.15%,9.15%
162970,Antiques > Asian Antiques > Japan > Bells,10%,9.15%,9.15%,9.15%
37935,Antiques > Asian Antiques > Japan > Bowls,10%,9.15%,9.15%,9.15%
37936,Antiques > Asian Antiques > Japan > Boxes,10%,9.15%,9.15%,9.15%
162971,Antiques > Asian Antiques > Japan > Dolls,10%,9.15%,9.15%,9.15%
162972,Antiques > Asian Antiques > Japan > Fans,10%,9.15%,9.15%,9.15%
37937,Antiques > Asian Antiques > Japan > Glasses & Cups,10%,9.15%,9.15%,9.15%
155353,Antiques > Asian Antiques > Japan > Kimonos & Textiles,10%,9.15%,9.15%,9.15%
162975,Antiques > Asian Antiques > Japan > Masks,10%,9.15%,9.15%,9.15%
37938,Antiques > Asian Antiques > Japan > Netsuke,10%,9.15%,9.15%,9.15%
38125,Antiques > Asian Antiques > Japan > Paintings & Scrolls,10%,9.15%,9.15%,9.15%
37939,Antiques > Asian Antiques > Japan > Plates,10%,9.15%,9.15%,9.15%
38126,Antiques > Asian Antiques > Japan > Prints,10%,9.15%,9.15%,9.15%
162973,Antiques > Asian Antiques > Japan > Statues,10%,9.15%,9.15%,9.15%
66841,Antiques > Asian Antiques > Japan > Swords,10%,9.15%,9.15%,9.15%
162976,Antiques > Asian Antiques > Japan > Tea Caddies,10%,9.15%,9.15%,9.15%
162977,Antiques > Asian Antiques > Japan > Teapots,10%,9.15%,9.15%,9.15%
162978,Antiques > Asian Antiques > Japan > Tsuba,10%,9.15%,9.15%,9.15%
37940,Antiques > Asian Antiques > Japan > Vases,10%,9.15%,9.15%,9.15%
73466,Antiques > Asian Antiques > Japan > Other Japanese Antiques,10%,9.15%,9.15%,9.15%
162979,Antiques > Asian Antiques > Korea,10%,9.15%,9.15%,9.15%
116556,Antiques > Asian Antiques > Middle East,10%,9.15%,9.15%,9.15%
162989,Antiques > Asian Antiques > Mongolia,10%,9.15%,9.15%,9.15%
162980,Antiques > Asian Antiques > Southeast Asia > Amulets,10%,9.15%,9.15%,9.15%
162981,Antiques > Asian Antiques > Southeast Asia > Bells,10%,9.15%,9.15%,9.15%
162982,Antiques > Asian Antiques > Southeast Asia > Bracelets,10%,9.15%,9.15%,9.15%
162983,Antiques > Asian Antiques > Southeast Asia > Masks,10%,9.15%,9.15%,9.15%
162984,Antiques > Asian Antiques > Southeast Asia > Necklaces & Pendants,10%,9.15%,9.15%,9.15%
162985,Antiques > Asian Antiques > Southeast Asia > Paintings,10%,9.15%,9.15%,9.15%
162986,Antiques > Asian Antiques > Southeast Asia > Statues,10%,9.15%,9.15%,9.15%
20085,Antiques > Asian Antiques > Southeast Asia > Other Southeast Asian Antiques,10%,9.15%,9.15%,9.15%
79947,Antiques > Asian Antiques > Tibet,10%,9.15%,9.15%,9.15%
162988,Antiques > Asian Antiques > Unknown,10%,9.15%,9.15%,9.15%
155354,Antiques > Asian Antiques > Reproductions,10%,9.15%,9.15%,9.15%
171171,Antiques > Asian Antiques > Price Guides & Publications,10%,9.15%,9.15%,9.15%
2194,Antiques > Asian Antiques > Other Asian Antiques,10%,9.15%,9.15%,9.15%
63522,Antiques > Decorative Arts > Ceramics & Porcelain > Bowls,10%,9.15%,9.15%,9.15%
63523,Antiques > Decorative Arts > Ceramics & Porcelain > Boxes,10%,9.15%,9.15%,9.15%
162999,Antiques > Decorative Arts > Ceramics & Porcelain > Butter Pats,10%,9.15%,9.15%,9.15%
163000,Antiques > Decorative Arts > Ceramics & Porcelain > Candle Holders,10%,9.15%,9.15%,9.15%
163001,Antiques > Decorative Arts > Ceramics & Porcelain > Candlesticks,10%,9.15%,9.15%,9.15%
163002,Antiques > Decorative Arts > Ceramics & Porcelain > Chamber Pots,10%,9.15%,9.15%,9.15%
63524,Antiques > Decorative Arts > Ceramics & Porcelain > Creamers & Sugar Bowls,10%,9.15%,9.15%,9.15%
163003,Antiques > Decorative Arts > Ceramics & Porcelain > Crocks,10%,9.15%,9.15%,9.15%
63525,Antiques > Decorative Arts > Ceramics & Porcelain > Cups & Saucers,10%,9.15%,9.15%,9.15%
63526,Antiques > Decorative Arts > Ceramics & Porcelain > Figurines,10%,9.15%,9.15%,9.15%
63527,Antiques > Decorative Arts > Ceramics & Porcelain > Jars,10%,9.15%,9.15%,9.15%
163004,Antiques > Decorative Arts > Ceramics & Porcelain > Jugs,10%,9.15%,9.15%,9.15%
63529,Antiques > Decorative Arts > Ceramics & Porcelain > Mugs & Tankards,10%,9.15%,9.15%,9.15%
63528,Antiques > Decorative Arts > Ceramics & Porcelain > Pitchers,10%,9.15%,9.15%,9.15%
163006,Antiques > Decorative Arts > Ceramics & Porcelain > Planters,10%,9.15%,9.15%,9.15%
63531,Antiques > Decorative Arts > Ceramics & Porcelain > Plates & Chargers,10%,9.15%,9.15%,9.15%
63532,Antiques > Decorative Arts > Ceramics & Porcelain > Platters & Trays,10%,9.15%,9.15%,9.15%
63533,Antiques > Decorative Arts > Ceramics & Porcelain > Salt & Pepper Shakers,10%,9.15%,9.15%,9.15%
63534,Antiques > Decorative Arts > Ceramics & Porcelain > Teapots & Tea Sets,10%,9.15%,9.15%,9.15%
63535,Antiques > Decorative Arts > Ceramics & Porcelain > Tiles,10%,9.15%,9.15%,9.15%
63536,Antiques > Decorative Arts > Ceramics & Porcelain > Tureens,10%,9.15%,9.15%,9.15%
163005,Antiques > Decorative Arts > Ceramics & Porcelain > Urns,10%,9.15%,9.15%,9.15%
63530,Antiques > Decorative Arts > Ceramics & Porcelain > Vases,10%,9.15%,9.15%,9.15%
2203,Antiques > Decorative Arts > Ceramics & Porcelain > Other Antique Ceramics,10%,9.15%,9.15%,9.15%
63537,Antiques > Decorative Arts > Clocks,10%,9.15%,9.15%,9.15%
162990,Antiques > Decorative Arts > Glass > Bottles,10%,9.15%,9.15%,9.15%
63539,Antiques > Decorative Arts > Glass > Bowls,10%,9.15%,9.15%,9.15%
162991,Antiques > Decorative Arts > Glass > Candle Holders,10%,9.15%,9.15%,9.15%
162992,Antiques > Decorative Arts > Glass > Candlesticks,10%,9.15%,9.15%,9.15%
162993,Antiques > Decorative Arts > Glass > Compotes,10%,9.15%,9.15%,9.15%
63541,Antiques > Decorative Arts > Glass > Decanters,10%,9.15%,9.15%,9.15%
162995,Antiques > Decorative Arts > Glass > Dishes,10%,9.15%,9.15%,9.15%
162996,Antiques > Decorative Arts > Glass > Figurines,10%,9.15%,9.15%,9.15%
63540,Antiques > Decorative Arts > Glass > Jars,10%,9.15%,9.15%,9.15%
162994,Antiques > Decorative Arts > Glass > Jugs,10%,9.15%,9.15%,9.15%
63542,Antiques > Decorative Arts > Glass > Perfume Bottles,10%,9.15%,9.15%,9.15%
63543,Antiques > Decorative Arts > Glass > Pitchers,10%,9.15%,9.15%,9.15%
63544,Antiques > Decorative Arts > Glass > Plates,10%,9.15%,9.15%,9.15%
162997,Antiques > Decorative Arts > Glass > Salt & Pepper Shakers,10%,9.15%,9.15%,9.15%
63545,Antiques > Decorative Arts > Glass > Stemware,10%,9.15%,9.15%,9.15%
63546,Antiques > Decorative Arts > Glass > Vases,10%,9.15%,9.15%,9.15%
2205,Antiques > Decorative Arts > Glass > Other Antique Glass,10%,9.15%,9.15%,9.15%
